"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"10/01/2024 00:00:00 - 10/01/2024 01:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"10/01/2024 01:00:00 - 10/01/2024 02:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"10/01/2024 02:00:00 - 10/01/2024 03:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"10/01/2024 03:00:00 - 10/01/2024 04:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"10/01/2024 04:00:00 - 10/01/2024 05:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","BZN|FR","0.00","0.00","0.00","300.00"
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","BZN|FR","332.77","366.48","366.48","389.00"
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","BZN|FR","1920.50","2099.70","1841.93","844.00"
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","BZN|FR","3660.75","3964.29","3582.92","1039.00"
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","BZN|FR","4774.83","4997.10","4813.88","1039.00"
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","BZN|FR","4920.59","4998.07","4988.95","2836.00"
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","BZN|FR","4307.00","4505.36","4482.71","2784.00"
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","BZN|FR","3018.59","3121.47","3121.86","2205.00"
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","BZN|FR","1192.34","1245.47","1245.48","1327.00"
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","BZN|FR","93.59","88.44","88.43","578.00"
"10/01/2024 18:00:00 - 10/01/2024 19:00:00","BZN|FR","0.00","0.00","0.00","291.00"
"10/01/2024 19:00:00 - 10/01/2024 20:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"10/01/2024 20:00:00 - 10/01/2024 21:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"10/01/2024 21:00:00 - 10/01/2024 22:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"10/01/2024 22:00:00 - 10/01/2024 23:00:00","BZN|FR","0.00","0.00","0.00","0.00"
